3180.88;0.00;3442.54;18020.30;0.00;5.23;7.49
3173.17;1.00;3381.30;19571.15;0.00;5.79;7.98
3190.17;10.00;3160.77;20025.25;0.00;6.34;8.05
3172.04;1.00;3140.05;19923.83;0.00;6.35;8.14
3191.99;2.00;3213.30;20233.00;0.00;6.30;8.16
3177.21;5.00;3206.47;20090.82;0.00;6.27;8.16
3170.42;5.00;3143.45;19850.60;0.00;6.31;8.16
3162.16;4.00;3164.60;19669.20;0.00;6.22;8.16
3159.11;10.00;3194.93;19708.42;0.00;6.17;8.16
3161.12;3.00;3162.78;19502.51;0.00;6.17;8.16
3166.08;8.00;3375.43;19750.09;0.00;5.85;8.16
3179.85;5.00;3231.77;20120.24;0.00;6.23;8.23
3175.48;5.00;3188.86;19919.85;0.00;6.25;8.23
3189.79;9.00;3168.79;20157.99;0.00;6.36;8.23
3181.10;3.00;3212.43;20339.22;0.00;6.33;8.39
3179.25;0.00;3199.79;19922.50;0.00;6.23;8.21
3190.18;4.00;3208.31;20679.14;0.00;6.45;8.30
3178.88;4.00;3177.75;20665.41;0.00;6.50;8.30
3173.32;3.00;3052.11;20250.16;0.00;6.63;8.30
3169.61;4.00;2954.21;19433.88;0.00;6.58;7.96
3183.91;3.00;3006.66;19557.26;0.00;6.50;7.96
3196.25;7.00;2947.50;20625.21;0.00;7.00;8.26
3171.61;4.00;2994.47;20457.12;0.00;6.83;8.26
3165.99;11.00;3004.06;20345.76;0.00;6.77;8.26
3161.34;5.00;3019.50;20122.69;0.00;6.66;8.16
3163.68;16.00;2979.97;20103.08;0.00;6.75;8.16
3181.16;8.00;3005.81;20258.33;0.00;6.74;8.16
3186.64;8.00;2985.78;20585.99;0.00;6.89;8.16
3196.15;3.00;3005.19;20612.95;0.00;6.86;8.16
3187.41;2.00;3462.73;21426.78;0.00;6.19;8.57
3163.95;9.00;3437.30;21497.87;0.00;6.25;8.64
3150.50;15.00;3546.88;21056.63;0.00;5.94;8.53
3146.36;11.00;3514.04;20791.89;0.00;5.92;8.46
3150.94;10.00;3478.13;20802.68;0.00;5.98;8.46
3170.54;8.00;3513.20;20941.42;0.00;5.96;8.46
3185.41;9.00;3470.28;21439.39;0.00;6.18;8.46
3192.03;5.00;3495.46;21664.56;0.00;6.20;8.53
3174.29;8.00;3567.38;21750.35;0.00;6.10;8.66
3148.51;12.00;3464.22;21071.34;0.00;6.08;8.52
3166.72;5.00;3509.59;20870.34;0.00;5.95;8.45
3201.12;3.00;3453.89;21077.06;0.00;6.10;8.45
3188.88;6.00;3474.79;21966.07;0.00;6.32;8.74
3156.63;4.00;3443.70;21872.92;0.00;6.35;8.80
3129.77;9.00;3514.69;20891.17;0.00;5.94;8.61
3116.87;10.00;3538.25;20726.53;0.00;5.86;8.61
3107.83;23.00;3507.67;20674.23;0.00;5.89;8.61
3107.05;21.00;3508.31;20475.68;0.00;5.84;8.53
3100.47;25.00;3562.66;20262.42;0.00;5.69;8.53
3112.57;14.00;3456.21;20362.92;0.00;5.89;8.53
3132.22;10.00;3518.89;20612.95;0.00;5.86;8.53
3126.85;8.00;3573.46;20431.55;0.00;5.72;8.53
3122.85;11.00;3508.02;20191.33;0.00;5.76;8.45
3151.36;7.00;3496.03;20321.74;0.00;5.81;8.45
3152.45;2.00;3067.24;19926.59;0.00;6.50;7.98
3189.13;4.00;3546.25;21307.11;0.00;6.01;8.49
3168.38;8.00;3566.64;21257.64;0.00;5.96;8.49
3158.22;12.00;3611.36;20936.52;0.00;5.80;8.49
3167.22;11.00;3521.89;20870.34;0.00;5.93;8.49
3175.11;12.00;3507.57;21060.93;0.00;6.00;8.49
3153.67;28.00;3486.10;21632.69;0.00;6.21;8.46
3182.04;15.00;3587.76;22578.89;0.00;6.29;8.76
3189.02;4.00;3514.36;22051.86;0.00;6.27;8.76
3166.56;3.00;3562.90;21833.70;0.00;6.13;8.76
3147.52;11.00;3480.17;21792.02;0.00;6.26;8.76
3166.05;8.00;3517.84;21736.87;0.00;6.18;8.76
3179.71;4.00;3030.60;21906.42;0.00;7.23;8.76
3154.45;4.00;2964.58;21738.10;0.00;7.33;8.76
3138.02;7.00;2972.27;21265.00;0.00;7.15;8.66
3158.50;5.00;2990.92;21186.55;0.00;7.08;8.56
3169.61;8.00;2992.60;21801.83;0.00;7.29;8.65
3153.53;10.00;2971.35;21551.80;0.00;7.25;8.65
3134.21;10.00;3068.11;21421.88;0.00;6.98;8.65
3130.26;13.00;2990.88;20786.99;0.00;6.95;8.56
3138.31;11.00;2963.18;20652.17;0.00;6.97;8.46
3152.23;3.00;3011.11;20809.05;0.00;6.91;8.46
3168.21;2.00;3001.92;20688.94;0.00;6.89;8.46
3162.18;4.00;3032.88;20611.11;0.00;6.80;8.46
3154.38;4.00;3002.49;20696.29;0.00;6.89;8.46
3148.58;1.00;2994.88;20605.60;0.00;6.88;8.46
3150.47;5.00;3006.18;20832.75;0.00;6.93;8.46
3174.63;7.00;3036.97;21236.40;0.00;6.99;8.55
3164.11;7.00;2964.47;21436.59;0.00;7.23;8.55
3171.41;6.00;3463.07;21541.99;0.00;6.22;8.55
3191.63;21.00;3466.19;22976.82;0.00;6.63;8.86
3199.44;24.00;3365.53;23172.11;0.00;6.89;8.94
3190.67;33.00;3237.95;23129.03;0.00;7.14;8.94
3187.33;24.00;3365.43;22985.81;0.00;6.83;8.94
3173.56;23.00;3499.72;22689.20;0.00;6.48;8.80
3197.51;13.00;3300.95;22995.12;0.00;6.97;8.95
3180.23;51.00;3507.89;22953.94;0.00;6.54;8.95
