3180.88;0;3442.54;7.49;18020.3;5.23
3173.17;1;3381.3;7.98;19571.15;5.79
3190.17;10;3160.77;8.05;20025.25;6.34
3172.04;1;3140.05;8.14;19923.83;6.35
3191.99;2;3213.3;8.16;20233;6.3
3177.21;5;3206.47;8.16;20090.82;6.27
3170.42;5;3143.45;8.16;19850.6;6.31
3162.16;4;3164.6;8.16;19669.2;6.22
3159.11;10;3194.93;8.16;19708.42;6.17
3161.12;3;3162.78;8.16;19502.51;6.17
3166.08;8;3375.43;8.16;19750.09;5.85
3179.85;5;3231.77;8.23;20120.24;6.23
3175.48;5;3188.86;8.23;19919.85;6.25
3189.79;9;3168.79;8.23;20157.99;6.36
3181.1;3;3212.43;8.39;20339.22;6.33
3179.25;0;3199.79;8.21;19922.5;6.23
3190.18;4;3208.31;8.3;20679.14;6.45
3178.88;4;3177.75;8.3;20665.41;6.5
3173.32;3;3052.11;8.3;20250.16;6.63
3169.61;4;2954.21;7.96;19433.88;6.58
3183.91;3;3006.66;7.96;19557.26;6.5
3196.25;7;2947.5;8.26;20625.21;7
3171.61;4;2994.47;8.26;20457.12;6.83
3165.99;11;3004.06;8.26;20345.76;6.77
3161.34;5;3019.5;8.16;20122.69;6.66
3163.68;16;2979.97;8.16;20103.08;6.75
3181.16;8;3005.81;8.16;20258.33;6.74
3186.64;8;2985.78;8.16;20585.99;6.89
3196.15;3;3005.19;8.16;20612.95;6.86
3187.41;2;3462.73;8.57;21426.78;6.19
3163.95;9;3437.3;8.64;21497.87;6.25
3150.5;15;3546.88;8.53;21056.63;5.94
3146.36;11;3514.04;8.46;20791.89;5.92
3150.94;10;3478.13;8.46;20802.68;5.98
3170.54;8;3513.2;8.46;20941.42;5.96
3185.41;9;3470.28;8.46;21439.39;6.18
3192.03;5;3495.46;8.53;21664.56;6.2
3174.29;8;3567.38;8.66;21750.35;6.1
3148.51;12;3464.22;8.52;21071.34;6.08
3166.72;5;3509.59;8.45;20870.34;5.95
3201.12;3;3453.89;8.45;21077.06;6.1
3188.88;6;3474.79;8.74;21966.07;6.32
3156.63;4;3443.7;8.8;21872.92;6.35
3129.77;9;3514.69;8.61;20891.17;5.94
3116.87;10;3538.25;8.61;20726.53;5.86
3107.83;23;3507.67;8.61;20674.23;5.89
3107.05;21;3508.31;8.53;20475.68;5.84
3100.47;25;3562.66;8.53;20262.42;5.69
3112.57;14;3456.21;8.53;20362.92;5.89
3132.22;10;3518.89;8.53;20612.95;5.86
3126.85;8;3573.46;8.53;20431.55;5.72
3122.85;11;3508.02;8.45;20191.33;5.76
3151.36;7;3496.03;8.45;20321.74;5.81
3152.45;2;3067.24;7.98;19926.59;6.5
3189.13;4;3546.25;8.49;21307.11;6.01
3168.38;8;3566.64;8.49;21257.64;5.96
3158.22;12;3611.36;8.49;20936.52;5.8
3167.22;11;3521.89;8.49;20870.34;5.93
3175.11;12;3507.57;8.49;21060.93;6
3153.67;28;3486.1;8.46;21632.69;6.21
3182.04;15;3587.76;8.76;22578.89;6.29
3189.02;4;3514.36;8.76;22051.86;6.27
3166.56;3;3562.9;8.76;21833.7;6.13
3147.52;11;3480.17;8.76;21792.02;6.26
3166.05;8;3517.84;8.76;21736.87;6.18
3179.71;4;3030.6;8.76;21906.42;7.23
3154.45;4;2964.58;8.76;21738.1;7.33
3138.02;7;2972.27;8.66;21265;7.15
3158.5;5;2990.92;8.56;21186.55;7.08
3169.61;8;2992.6;8.65;21801.83;7.29
3153.53;10;2971.35;8.65;21551.8;7.25
3134.21;10;3068.11;8.65;21421.88;6.98
3130.26;13;2990.88;8.56;20786.99;6.95
3138.31;11;2963.18;8.46;20652.17;6.97
3152.23;3;3011.11;8.46;20809.05;6.91
3168.21;2;3001.92;8.46;20688.94;6.89
3162.18;4;3032.88;8.46;20611.11;6.8
3154.38;4;3002.49;8.46;20696.29;6.89
3148.58;1;2994.88;8.46;20605.6;6.88
3150.47;5;3006.18;8.46;20832.75;6.93
3174.63;7;3036.97;8.55;21236.4;6.99
3164.11;7;2964.47;8.55;21436.59;7.23
3171.41;6;3463.07;8.55;21541.99;6.22
3191.63;21;3466.19;8.86;22976.82;6.63
3199.44;24;3365.53;8.94;23172.11;6.89
3190.67;33;3237.95;8.94;23129.03;7.14
3187.33;24;3365.43;8.94;22985.81;6.83
3173.56;23;3499.72;8.8;22689.2;6.48
3197.51;13;3300.95;8.95;22995.12;6.97
3180.23;51;3507.89;8.95;22953.94;6.54
3174.19;59;3567.18;8.95;22924.52;6.43
3188.93;33;3501.83;8.95;22855.89;6.53
3183.37;56;3466.83;8.95;23162.3;6.68
3196.11;46;3544.3;8.95;23022.57;6.5
3197.79;48;3276.22;8.95;23230.94;7.09
3181.41;53;3347.53;8.95;23009.5;6.87
3189.6;45;3471.75;8.95;23110.82;6.66
3196.81;46;3317.78;8.95;23153.31;6.98
3176.11;47;3392.29;8.95;23027.48;6.79
3131.46;44;3490.42;8.76;21944.36;6.29
3147.93;9;3634.49;8.76;21809.59;6
3149.11;15;3642.99;8.76;21885.17;6.01
3071.41;17;2637.11;7.52;17781.7;6.74
3145.73;8;3574.89;8.49;21382.66;5.98
3158.01;13;3645.65;8.71;22081.28;6.06
3173.13;24;3632.98;8.79;22542.12;6.2
3179.64;25;3729.79;8.88;22958.84;6.16
3200.42;32;3639.82;8.95;23131.41;6.36
3213.36;22;3498.24;8.95;23188.77;6.63
3210.92;18;3492.22;8.95;23306.93;6.67
3165.1;58;3286.62;8.95;22674.49;6.9
3117.88;40;3509.96;8.86;21689.07;6.18
